State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Christians,Others_Religions,Households_with_Computer,Housholds_with_Electric_Lighting,Urban_Households,Rural_Households,Higher_Education,Graduate_Education,Illiterate_Education,Literate_Education,SC,ST,sex ratio,literacy_rate,Illiterate_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,2399901,275970,15422,322,45202,566108,220248,597466,143143,100226,1030640,1346992,488596,495794,100.0,54.0,38.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,3599372,443456,20463,309,48299,897970,341431,902997,162175,144915,1369069,2426929,583135,154127,98.0,57.0,34.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,3737588,397870,24129,358,67087,944555,395900,907970,265199,246409,1170993,3062955,785760,159165,100.0,64.0,28.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,4983330,77777,77825,403,93784,1297273,406362,1199479,271809,263023,1524603,3518619,945269,213195,101.0,64.0,30.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,4217597,559770,89763,332,80434,1186028,513113,1069877,246580,221924,1474349,3209266,957407,247089,100.0,61.0,30.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,2046051,1713405,87522,1929,274653,869721,1066289,0,517425,558090,556902,3445721,247927,48937,95.0,73.0,14.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,3491139,244723,24979,115,46584,926768,288044,877236,293493,256633,1280393,2325560,709757,106745,101.0,58.0,34.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,2595321,158887,33463,539,42171,668519,201363,669262,154774,160804,875272,1551232,462896,765565,101.0,58.0,31.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,4023678,307043,145598,906,101450,1163932,567042,909292,312753,328454,1352499,3169428,871063,132464,99.0,67.0,30.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,3328380,670737,33165,434,56478,816721,306982,783853,152453,115504,1517933,2220285,737945,82831,99.0,52.0,37.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,3673456,334172,21345,267,60812,757821,161052,848963,169083,98227,1604319,2049104,708954,364269,98.0,48.0,40.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,2637313,342449,34301,217,47170,604719,195479,593653,201928,127493,1199818,2029580,537947,168985,99.0,54.0,40.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,3249231,188646,35025,132,53777,789225,197433,833504,238695,196134,1294811,2188695,637385,394279,98.0,57.0,37.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,2123426,391596,19653,146,35036,545913,155133,565165,223365,141850,1041862,1804547,371074,192941,104.0,54.0,41.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,3150195,220654,18775,206,43611,763746,214089,873486,142026,133627,1218310,1900943,787861,151145,98.0,56.0,36.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,2666950,9025,18879,106,32280,615432,149684,752752,146721,121213,1009992,1499877,255664,166118,101.0,55.0,37.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,2299129,16423,17853,183,24128,527736,157056,592458,115144,103591,1031683,1240323,247728,235556,102.0,53.0,44.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,3273755,197333,31377,126,59006,828077,288249,758738,279234,248942,1191252,2212184,616102,530656,100.0,59.0,34.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,3733191,86142,109120,211,55613,1017568,248373,1007255,215863,207586,1028767,2771842,811698,109072,100.0,67.0,26.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,47683,2134,35969,11738,1486,14593,6498,33422,5641,3633,57290,80456,0,53878,93.0,49.0,39.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,12333,652,37136,27868,885,5318,5215,14503,4510,2330,31763,44247,0,72400,103.0,49.0,40.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,27854,2289,18254,49393,1582,14231,9524,19497,9498,6540,21543,65119,0,69979,98.0,63.0,22.0
